"album_name","album_release","track_number","track_name","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","explicit"
"reputation",2017-11-10,4,"Don't Blame Me",0.615,0.534,0.212862912452723,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,FALSE
"reputation",2017-11-10,5,"Delicate",0.75,0.404,0.0959842553582907,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,FALSE
"reputation",2017-11-10,6,"Look What You Made Me Do",0.766,0.709,0.225372021414598,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,FALSE
"reputation",2017-11-10,7,"So It Goes...",0.574,0.61,0.186939036513748,1,0.0732,0.122,1.1e-06,0.13,0.374,74.957,FALSE
"reputation",2017-11-10,8,"Gorgeous",0.8,0.535,0.214585315988437,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,FALSE
"reputation",2017-11-10,9,"Getaway Car",0.562,0.689,0.211592368524095,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,FALSE
"reputation",2017-11-10,10,"King Of My Heart",0.675,0.703,0.16210633981552,1,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,FALSE
"reputation",2017-11-10,11,"Dancing With Our Hands Tied",0.624,0.691,0.21448651854918,0,0.196,0.0604,1.1e-05,0.138,0.284,160.024,FALSE
"reputation",2017-11-10,12,"Dress",0.719,0.469,0.132068729514642,1,0.0533,0.0329,0,0.169,0.0851,120.085,FALSE
"reputation",2017-11-10,13,"This Is Why We Can't Have Nice Things",0.567,0.789,0.251999686210924,1,0.115,0.0156,0,0.382,0.438,163.96,FALSE
"reputation",2017-11-10,14,"Call It What You Want",0.598,0.504,0.102943753665927,1,0.0731,0.186,0.000221,0.34,0.252,163.954,FALSE
"reputation",2017-11-10,15,"New Year's Day",0.661,0.151,0.0517130317916963,1,0.0354,0.921,0,0.13,0.23,94.922,FALSE
"Lover",2019-08-23,1,"I Forgot That You Existed",0.664,0.316,0.0923634188419631,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,FALSE
"Lover",2019-08-23,2,"Cruel Summer",0.552,0.702,0.268720005671711,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,FALSE
"Lover",2019-08-23,3,"Lover",0.359,0.543,0.174501835720265,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,FALSE
"Lover",2019-08-23,4,"The Man",0.777,0.658,0.302621653576335,1,0.054,0.0767,0,0.0901,0.633,110.048,FALSE
"Lover",2019-08-23,5,"The Archer",0.292,0.574,0.115478198468946,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,FALSE
"Lover",2019-08-23,6,"I Think He Knows",0.897,0.366,0.157434532914294,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,FALSE
"Lover",2019-08-23,7,"Miss Americana & The Heartbreak Prince",0.662,0.747,0.202955114463208,0,0.0736,0.028,0.00615,0.138,0.487,150.088,FALSE
"Lover",2019-08-23,8,"Paper Rings",0.811,0.719,0.221156648582988,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,FALSE
"Lover",2019-08-23,9,"Cornelia Street",0.824,0.624,0.106463318705131,1,0.0827,0.781,0.000189,0.1,0.248,102.012,FALSE
"Lover",2019-08-23,10,"Death By A Thousand Cuts",0.712,0.732,0.211154334065884,1,0.0629,0.454,0,0.319,0.313,94.071,FALSE
"Lover",2019-08-23,11,"London Boy",0.695,0.71,0.216820329460461,1,0.05,0.0246,0.000104,0.133,0.557,157.925,FALSE
"Lover",2019-08-23,12,"Soon You'll Get Better",0.433,0.182,0.0553859998277357,1,0.0641,0.907,0,0.123,0.421,207.476,FALSE
"Lover",2019-08-23,13,"False God",0.739,0.32,0.0819973845457475,0,0.239,0.736,0.000147,0.111,0.351,79.97,FALSE
"Lover",2019-08-23,14,"You Need To Calm Down",0.771,0.671,0.274346863852402,1,0.0553,0.00929,0,0.0637,0.714,85.026,FALSE
