"album_name","album_release","track_name","energy","loudness","mode","speechiness","acousticness","instrumentalness","valence","tempo","explicit"
"reputation",2017-11-10,"This Is Why We Can't Have Nice Things",0.789,-5.986,1,0.115,0.0156,0,0.438,163.96,FALSE
"reputation",2017-11-10,"Call It What You Want",0.504,-9.874,1,0.0731,0.186,0.000221,0.252,163.954,FALSE
"reputation",2017-11-10,"New Year's Day",0.151,-12.864,1,0.0354,0.921,0,0.23,94.922,FALSE
"Lover",2019-08-23,"I Forgot That You Existed",0.316,-10.345,1,0.519,0.298,2.03e-06,0.541,92.875,FALSE
"Lover",2019-08-23,"Cruel Summer",0.702,-5.707,1,0.157,0.117,2.06e-05,0.564,169.994,FALSE
"Lover",2019-08-23,"Lover",0.543,-7.582,1,0.0919,0.492,1.58e-05,0.453,68.534,FALSE
"Lover",2019-08-23,"The Man",0.658,-5.191,1,0.054,0.0767,0,0.633,110.048,FALSE
"Lover",2019-08-23,"The Archer",0.574,-9.375,1,0.0401,0.12,0.00569,0.166,124.344,FALSE
"Lover",2019-08-23,"I Think He Knows",0.366,-8.029,1,0.0569,0.00889,0.000353,0.416,100.003,FALSE
"Lover",2019-08-23,"Miss Americana & The Heartbreak Prince",0.747,-6.926,0,0.0736,0.028,0.00615,0.487,150.088,FALSE
"Lover",2019-08-23,"Paper Rings",0.719,-6.553,1,0.0497,0.0129,1.36e-05,0.865,103.979,FALSE
"Lover",2019-08-23,"Cornelia Street",0.624,-9.728,1,0.0827,0.781,0.000189,0.248,102.012,FALSE
"Lover",2019-08-23,"Death By A Thousand Cuts",0.732,-6.754,1,0.0629,0.454,0,0.313,94.071,FALSE
"Lover",2019-08-23,"London Boy",0.71,-6.639,1,0.05,0.0246,0.000104,0.557,157.925,FALSE
"Lover",2019-08-23,"Soon You'll Get Better",0.182,-12.566,1,0.0641,0.907,0,0.421,207.476,FALSE
"Lover",2019-08-23,"False God",0.32,-10.862,0,0.239,0.736,0.000147,0.351,79.97,FALSE
"Lover",2019-08-23,"You Need To Calm Down",0.671,-5.617,1,0.0553,0.00929,0,0.714,85.026,FALSE
"Lover",2019-08-23,"Afterglow",0.449,-8.746,1,0.0344,0.13,0,0.399,111.011,FALSE
"Lover",2019-08-23,"ME!",0.83,-4.105,1,0.0571,0.033,0,0.728,182.162,FALSE
"Lover",2019-08-23,"It's Nice To Have A Friend",0.175,-9.912,1,0.0401,0.971,0.000337,0.545,70.008,FALSE
"Lover",2019-08-23,"Daylight",0.496,-9.602,1,0.0563,0.808,0.000173,0.265,149.983,FALSE
"folklore",2020-07-24,"the 1",0.361,-6.942,1,0.048,0.75,7.14e-06,0.163,139.902,TRUE
"folklore",2020-07-24,"cardigan",0.58,-8.572,0,0.0419,0.525,0.000414,0.534,130.045,FALSE
"folklore",2020-07-24,"the last great american dynasty",0.653,-8.558,1,0.0403,0.481,0.00414,0.701,147.991,TRUE
"folklore",2020-07-24,"exile",0.374,-8.464,1,0.0275,0.761,2.46e-05,0.16,75.938,FALSE
"folklore",2020-07-24,"my tears ricochet",0.265,-10.663,1,0.0328,0.814,0,0.112,129.947,FALSE
"folklore",2020-07-24,"mirrorball",0.417,-10.064,1,0.035,0.686,1.9e-06,0.347,110.137,FALSE
"folklore",2020-07-24,"seven",0.494,-10.813,1,0.0277,0.888,2.59e-05,0.374,94.955,FALSE
"folklore",2020-07-24,"august",0.634,-9.222,1,0.0363,0.553,6.93e-05,0.42,89.567,FALSE
"folklore",2020-07-24,"this is me trying",0.478,-9.837,1,0.0322,0.312,2.3e-05,0.408,135.882,FALSE
"folklore",2020-07-24,"illicit affairs",0.304,-10.567,1,0.0356,0.862,0,0.44,119.58,FALSE
"folklore",2020-07-24,"invisible string",0.459,-11.128,0,0.0507,0.859,6.63e-05,0.454,83.455,FALSE
"folklore",2020-07-24,"mad woman",0.7,-9.016,1,0.0492,0.67,6.77e-06,0.451,141.898,TRUE
"folklore",2020-07-24,"epiphany",0.254,-13.679,1,0.0286,0.727,0.000326,0.103,93.933,FALSE
"folklore",2020-07-24,"betty",0.376,-8.767,1,0.0256,0.589,0,0.476,95.946,TRUE
"folklore",2020-07-24,"peace",0.284,-12.879,1,0.0821,0.916,1.5e-05,0.328,150.072,TRUE
"folklore",2020-07-24,"hoax",0.178,-15.01,1,0.0394,0.964,7.9e-06,0.404,118.84,FALSE
"folklore",2020-07-24,"the lakes",0.258,-11.532,1,0.0383,0.842,1.3e-06,0.268,179.947,FALSE
"evermore",2020-12-11,"willow",0.574,-9.195,1,0.17,0.833,0.00179,0.529,81.112,FALSE
"evermore",2020-12-11,"champagne problems",0.24,-12.077,1,0.0377,0.92,0,0.32,171.319,TRUE
"evermore",2020-12-11,"gold rush",0.462,-10.491,1,0.0408,0.83,0.166,0.353,112.05,TRUE
"evermore",2020-12-11,"'tis the damn season",0.434,-8.193,1,0.0312,0.735,6.59e-05,0.348,145.916,FALSE
"evermore",2020-12-11,"tolerate it",0.361,-10.381,1,0.0488,0.878,2.67e-05,0.221,74.952,TRUE
"evermore",2020-12-11,"no body, no crime",0.613,-7.589,0,0.0264,0.418,0,0.535,79.015,FALSE
"evermore",2020-12-11,"happiness",0.334,-10.733,1,0.0376,0.87,0,0.211,122.079,TRUE
"evermore",2020-12-11,"dorothea",0.488,-8.322,1,0.0264,0.696,0,0.354,119.966,FALSE
"evermore",2020-12-11,"coney island",0.537,-11.266,1,0.0617,0.819,0.000904,0.292,107.895,FALSE
"evermore",2020-12-11,"ivy",0.545,-9.277,1,0.0353,0.855,1.97e-05,0.535,88.856,TRUE
"evermore",2020-12-11,"cowboy like me",0.517,-9.014,1,0.0347,0.768,0.000155,0.511,127.967,TRUE
"evermore",2020-12-11,"long story short",0.73,-7.704,1,0.0417,0.66,0.179,0.573,157.895,FALSE
"evermore",2020-12-11,"marjorie",0.561,-11.609,1,0.0484,0.876,0.000136,0.287,96.103,FALSE
"evermore",2020-12-11,"closure",0.704,-10.813,1,0.245,0.835,4.83e-06,0.92,151.884,FALSE
"evermore",2020-12-11,"evermore",0.27,-10.673,1,0.0308,0.937,0.00227,0.32,125.177,FALSE
"evermore",2020-12-11,"right where you left me",0.619,-6.524,1,0.0282,0.769,0.000106,0.645,137.915,FALSE
"evermore",2020-12-11,"it's time to go",0.41,-12.426,1,0.0397,0.801,1.39e-05,0.416,151.923,FALSE
"Midnights",2022-10-21,"Lavender Haze",0.444,-10.519,1,0.0684,0.204,0.0012,0.0984,97.038,TRUE
"Midnights",2022-10-21,"Maroon",0.378,-8.3,1,0.0379,0.0593,0,0.0382,108.034,TRUE
"Midnights",2022-10-21,"Anti-Hero",0.634,-6.582,1,0.0457,0.133,1.23e-06,0.519,96.953,FALSE
"Midnights",2022-10-21,"Snow On The Beach",0.323,-13.425,1,0.0436,0.735,0.00321,0.154,110.007,TRUE
"Midnights",2022-10-21,"You're On Your Own, Kid",0.38,-10.307,1,0.0614,0.416,8.47e-06,0.376,120.044,FALSE
"Midnights",2022-10-21,"Midnight Rain",0.377,-11.721,1,0.0708,0.71,6.51e-05,0.23,139.966,FALSE
"Midnights",2022-10-21,"Question...?",0.502,-8.777,1,0.162,0.226,0,0.112,108.989,TRUE
"Midnights",2022-10-21,"Vigilante Shit",0.279,-11.134,0,0.364,0.16,1.74e-05,0.16,79.996,TRUE
"Midnights",2022-10-21,"Bejeweled",0.55,-9.13,1,0.0653,0.0661,0.000102,0.412,164.003,FALSE
"Midnights",2022-10-21,"Labyrinth",0.313,-15.434,1,0.0487,0.791,0.348,0.141,110.039,FALSE
"Midnights",2022-10-21,"Karma",0.622,-7.054,1,0.0582,0.074,0,0.106,90.024,TRUE
"Midnights",2022-10-21,"Sweet Nothing",0.161,-14.875,1,0.0506,0.967,4.71e-05,0.396,176.747,FALSE
"Midnights",2022-10-21,"Mastermind",0.352,-14.077,1,0.117,0.571,0.00147,0.13,125.934,FALSE
"Midnights",2022-10-21,"The Great War",0.741,-8.987,1,0.0353,0.219,2.23e-05,0.554,96.016,FALSE
"Midnights",2022-10-21,"Bigger Than The Whole Sky",0.235,-12.379,1,0.0568,0.826,0.00648,0.068,165.71,FALSE
"Midnights",2022-10-21,"Paris",0.509,-10.547,1,0.0789,0.112,3.27e-05,0.345,110.947,FALSE
"Midnights",2022-10-21,"High Infidelity",0.529,-10.179,1,0.0864,0.723,0,0.755,87.862,FALSE
"Midnights",2022-10-21,"Glitch",0.466,-9.738,0,0.201,0.361,0,0.347,140.864,FALSE
"Midnights",2022-10-21,"Would've, Could've, Should've",0.84,-6.508,1,0.119,0.43,0.000575,0.55,157.979,FALSE
"Midnights",2022-10-21,"Dear Reader",0.388,-12.088,1,0.0705,0.481,0.00145,0.159,107.747,FALSE
